,Chip 1 Wave (Angstroms),Chip 1 Throughput,Chip 2 Wave (Angstroms),Chip 2 Throughput
0,500.0,0.0,500.0,0.0
1,1000.0,0.0,1000.0,0.0
2,1010.0,0.0,1010.0,0.0
3,1020.0,0.0,1020.0,0.0
4,1030.0,0.0,1030.0,0.0
5,1040.0,0.0,1040.0,0.0
6,1050.0,0.0,1050.0,0.0
7,1060.0,0.0,1060.0,0.0
8,1070.0,0.0,1070.0,0.0
9,1080.0,0.0,1080.0,0.0
10,1090.0,0.0,1090.0,0.0
11,1100.0,0.0,1100.0,0.0
12,1110.0,0.0,1110.0,0.0
13,1120.0,0.0,1120.0,0.0
14,1130.0,0.0,1130.0,0.0
15,1140.0,0.0,1140.0,0.0
16,1150.0,0.0,1150.0,0.0
17,1160.0,0.0,1160.0,0.0
18,1170.0,0.0,1170.0,0.0
19,1180.0,0.0,1180.0,0.0
20,1190.0,0.0,1190.0,0.0
21,1200.0,0.0,1200.0,0.0
22,1210.0,0.0,1210.0,0.0
23,1220.0,0.0,1220.0,0.0
24,1230.0,0.0,1230.0,0.0
25,1240.0,0.0,1240.0,0.0
26,1250.0,0.0,1250.0,0.0
27,1260.0,0.0,1260.0,0.0
28,1270.0,0.0,1270.0,0.0
29,1280.0,0.0,1280.0,0.0
30,1290.0,0.0,1290.0,0.0
31,1300.0,0.0,1300.0,0.0
32,1310.0,0.0,1310.0,0.0
33,1320.0,0.0,1320.0,0.0
34,1330.0,0.0,1330.0,0.0
35,1340.0,0.0,1340.0,0.0
36,1350.0,0.0,1350.0,0.0
37,1360.0,0.0,1360.0,0.0
38,1370.0,0.0,1370.0,0.0
39,1380.0,0.0,1380.0,0.0
40,1390.0,0.0,1390.0,0.0
41,1400.0,0.0,1400.0,0.0
42,1410.0,0.0,1410.0,0.0
43,1420.0,0.0,1420.0,0.0
44,1430.0,0.0,1430.0,0.0
45,1440.0,0.0,1440.0,0.0
46,1450.0,0.0,1450.0,0.0
47,1460.0,0.0,1460.0,0.0
48,1470.0,0.0,1470.0,0.0
49,1480.0,0.0,1480.0,0.0
50,1490.0,0.0,1490.0,0.0
51,1500.0,0.0,1500.0,0.0
52,1510.0,0.0,1510.0,0.0
53,1520.0,0.0,1520.0,0.0
54,1530.0,0.0,1530.0,0.0
55,1540.0,0.0,1540.0,0.0
56,1550.0,0.0,1550.0,0.0
57,1560.0,0.0,1560.0,0.0
58,1570.0,0.0,1570.0,0.0
59,1580.0,0.0,1580.0,0.0
60,1590.0,0.0,1590.0,0.0
61,1600.0,0.0,1600.0,0.0
62,1610.0,0.0,1610.0,0.0
63,1620.0,0.0,1620.0,0.0
64,1630.0,0.0,1630.0,0.0
65,1640.0,0.0,1640.0,0.0
66,1650.0,0.0,1650.0,0.0
67,1660.0,0.0,1660.0,0.0
68,1670.0,0.0,1670.0,0.0
69,1680.0,0.0,1680.0,0.0
70,1690.0,0.0,1690.0,0.0
71,1698.0,0.0,1698.0,0.0
72,1699.0,0.0,1699.0,0.0
73,1700.0,0.0,1700.0,0.0
74,1701.0,0.0,1701.0,0.0
75,1702.0,0.0,1702.0,0.0
76,1703.0,0.0,1703.0,0.0
77,1704.0,0.0,1704.0,0.0
78,1705.0,0.0,1705.0,0.0
79,1706.0,0.0,1706.0,0.0
80,1707.0,0.0,1707.0,0.0
81,1708.0,0.0,1708.0,0.0
82,1709.0,0.0,1709.0,0.0
83,1710.0,0.0,1710.0,0.0
84,1711.0,0.0,1711.0,0.0
85,1712.0,0.0,1712.0,0.0
86,1713.0,0.0,1713.0,0.0
87,1714.0,0.0,1714.0,0.0
88,1715.0,0.0,1715.0,0.0
89,1716.0,0.0,1716.0,0.0
90,1717.0,0.0,1717.0,0.0
91,1718.0,0.0,1718.0,0.0
92,1719.0,0.0,1719.0,0.0
93,1720.0,0.0,1720.0,0.0
94,1721.0,0.0,1721.0,0.0
95,1722.0,0.0,1722.0,0.0
96,1723.0,0.0,1723.0,0.0
97,1724.0,0.0,1724.0,0.0
98,1725.0,0.0,1725.0,0.0
99,1726.0,0.0,1726.0,0.0
100,1727.0,0.0,1727.0,0.0
101,1728.0,0.0,1728.0,0.0
102,1729.0,0.0,1729.0,0.0
103,1730.0,0.0,1730.0,0.0
104,1731.0,0.0,1731.0,0.0
105,1732.0,0.0,1732.0,0.0
106,1733.0,0.0,1733.0,0.0
107,1734.0,0.0,1734.0,0.0
108,1735.0,0.0,1735.0,0.0
109,1736.0,0.0,1736.0,0.0
110,1737.0,0.0,1737.0,0.0
111,1738.0,0.0,1738.0,0.0
112,1739.0,0.0,1739.0,0.0
113,1740.0,0.0,1740.0,0.0
114,1741.0,0.0,1741.0,0.0
115,1742.0,0.0,1742.0,0.0
116,1743.0,0.0,1743.0,0.0
117,1744.0,0.0,1744.0,0.0
118,1745.0,0.0,1745.0,0.0
119,1746.0,0.0,1746.0,0.0
120,1747.0,0.0,1747.0,0.0
121,1748.0,0.0,1748.0,0.0
122,1749.0,0.0,1749.0,0.0
123,1750.0,0.0,1750.0,0.0
124,1751.0,0.0,1751.0,0.0
125,1752.0,0.0,1752.0,0.0
126,1753.0,0.0,1753.0,0.0
127,1754.0,0.0,1754.0,0.0
128,1755.0,0.0,1755.0,0.0
129,1756.0,0.0,1756.0,0.0
130,1757.0,0.0,1757.0,0.0
131,1758.0,0.0,1758.0,0.0
132,1759.0,0.0,1759.0,0.0
133,1760.0,0.0,1760.0,0.0
